,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster,number_of_subsamples
0,_ENSTGUG00000000842.2,2.0106502324003235,2.110744744246971,0.3232846981891755,33.733376095253895,6.320687569385504e-09,3.745917627008859e-07,_ENSTGUG00000000842.2,oligodendrocytes 1,3
1,_ENSTGUG00000008926.2,3.81735910345438,1.331429908941887,0.21186410633631025,33.724677842425194,6.34901292713366e-09,3.745917627008859e-07,_ENSTGUG00000008926.2,oligodendrocytes 1,3
2,SFTPC_ENSTGUG00000023951.1,8.649116590738606,1.1403269100707158,0.1488676398792916,52.083085489402954,5.320123120300015e-13,7.847181602442521e-11,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,3
3,PNMT_ENSTGUG00000002234.2,3.1577197088645668,-8.218663448004651,1.2466288673975914,41.2488517926322,1.3403055461729454e-10,1.3179671204033964e-08,PNMT_ENSTGUG00000002234.2,oligodendrocytes 1,3
4,_ENSTGUG00000027913.1,22.25721118104844,7.5843477453197945,0.3281666062328613,1257.8589326348097,1.6262330501583547e-275,4.797387497967147e-273,_ENSTGUG00000027913.1,oligodendrocytes 1,3
5,SFTPC_ENSTGUG00000023951.1,9.70512903014977,1.5161927004195457,0.14898764261120773,92.3316282614853,7.330335970940557e-22,1.3645420409905847e-18,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,3
6,_ENSTGUG00000027913.1,23.165141616393772,7.3179873606657235,0.3047716275897561,1052.9222971657434,5.638435842442213e-231,2.0991896641412357e-227,_ENSTGUG00000027913.1,oligodendrocytes 1,3
7,TMSB15B_ENSTGUG00000006515.2,23.18955881735318,0.8494185603388459,0.1427529897658464,29.794907413627467,4.802518489472512e-08,3.1934595037172727e-06,TMSB15B_ENSTGUG00000006515.2,oligodendrocytes 1,3
8,_ENSTGUG00000000842.2,2.2107764730861144,1.8574842894497905,0.3047748463023112,29.556488585118586,5.431053577750465e-08,3.1934595037172727e-06,_ENSTGUG00000000842.2,oligodendrocytes 1,3
9,SFTPC_ENSTGUG00000023951.1,8.875505533960423,1.2503276031290422,0.1474626551047596,64.21735727959322,1.1142279307837469e-15,1.6379150582521078e-13,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,3
10,PNMT_ENSTGUG00000002234.2,2.4976867019332154,-8.422380520118644,1.4259292282341909,30.060914988238093,4.186852669222452e-08,3.1934595037172727e-06,PNMT_ENSTGUG00000002234.2,oligodendrocytes 1,3
11,_ENSTGUG00000027913.1,21.38685677157469,8.240597831733307,0.4032822094686422,1520.976487598345,0.0,0.0,_ENSTGUG00000027913.1,oligodendrocytes 1,3
