,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster,number_of_subsamples
0,HBAA_ENSTGUG00000004372.2,2.7711718361573343,-4.018784716627714,0.262607085637947,518.5321620139515,8.828569503668778e-115,1.5595668028230902e-111,HBAA_ENSTGUG00000004372.2,microglia 2,10
1,_ENSTGUG00000029343.1,73.744253063051,-12.812588069425795,0.9911493013054364,20752.43008408927,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
2,_ENSTGUG00000029343.1,32.44296368519223,-14.441791094956873,2.6746930923650187,8947.264367287378,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
3,_ENSTGUG00000028531.1,9.037088668343696,-8.230562693397657,0.5919149319976981,2415.992347270645,0.0,0.0,_ENSTGUG00000028531.1,microglia 2,10
4,HBAA_ENSTGUG00000004372.2,2.777723967612709,-4.533197315682898,0.3072535026871706,579.0540445233847,6.023453827967317e-128,1.0333235041877933e-124,HBAA_ENSTGUG00000004372.2,microglia 2,10
5,_ENSTGUG00000029343.1,47.17302166909149,-25.51765826181118,83.21304521075643,13082.498967130494,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
6,_ENSTGUG00000028479.1,45.82367007299939,-7.18872744139379,0.7189258169077142,52.398639331069354,4.5303773007001036e-13,7.756005938798577e-10,_ENSTGUG00000028479.1,microglia 2,10
7,_ENSTGUG00000029343.1,36.82519982444136,-12.163581229068795,1.1425923682379862,10114.919405114226,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
8,_ENSTGUG00000028479.1,64.70676301601156,-8.42043855002812,0.236274763649077,17301.9020990159,0.0,0.0,_ENSTGUG00000028479.1,microglia 2,10
9,_ENSTGUG00000029343.1,43.145419847582005,-11.349972541699495,0.7968490309564134,11830.647744109825,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
10,_ENSTGUG00000028531.1,14.834704905182187,-8.974743235251351,0.5970978409262518,4016.564812110913,0.0,0.0,_ENSTGUG00000028531.1,microglia 2,10
11,_ENSTGUG00000028479.1,77.39996236030646,-8.627726619974293,0.2322930663600903,20768.709444408127,0.0,0.0,_ENSTGUG00000028479.1,microglia 2,10
12,_ENSTGUG00000029343.1,44.78273821387097,-14.507167688783946,2.3373658182699484,12290.146527914298,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
13,_ENSTGUG00000028531.1,19.959117704262997,-9.17806162369025,0.5533802714797528,5395.842571442129,0.0,0.0,_ENSTGUG00000028531.1,microglia 2,10
14,_ENSTGUG00000028479.1,34.96935465813789,-8.872591066264523,0.37624602768172777,9387.39294031447,0.0,0.0,_ENSTGUG00000028479.1,microglia 2,10
15,_ENSTGUG00000029343.1,28.01244128144528,-12.407812567470716,1.428252251658381,7681.428701818342,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
16,HBAA_ENSTGUG00000004372.2,5.395759056649402,-8.439110333024546,0.8225014701714173,1448.6784811164534,5.5541753e-317,6.5687380114e-314,HBAA_ENSTGUG00000004372.2,microglia 2,10
17,_ENSTGUG00000029343.1,57.42188907927772,-15.31448918217654,2.723389568532736,15867.551178694526,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
18,_ENSTGUG00000028531.1,14.304709713784645,-10.24024851438626,0.9403960426364434,3905.5928184373865,0.0,0.0,_ENSTGUG00000028531.1,microglia 2,10
19,_ENSTGUG00000028479.1,114.58995504059445,-9.638726869380994,0.3386488933459532,1210.0869898592982,3.918523444024394e-265,4.5389563226615887e-262,_ENSTGUG00000028479.1,microglia 2,10
20,_ENSTGUG00000029343.1,69.70414610434125,-14.664545950881154,1.9743056886578725,19218.533949391498,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
21,_ENSTGUG00000028531.1,18.197437235997146,-10.58302282155385,0.9399749493586717,4986.65252587959,0.0,0.0,_ENSTGUG00000028531.1,microglia 2,10
22,_ENSTGUG00000028479.1,107.73661347003299,-9.151012471260943,0.23527766958899496,29191.292131245806,0.0,0.0,_ENSTGUG00000028479.1,microglia 2,10
23,_ENSTGUG00000029343.1,68.16047778589544,-18.28434727205393,6.993164665223168,18810.503461099863,0.0,0.0,_ENSTGUG00000029343.1,microglia 2,10
24,_ENSTGUG00000028531.1,22.737755807810426,-9.873252570041565,0.656667443326313,6198.515705889266,0.0,0.0,_ENSTGUG00000028531.1,microglia 2,10
