GeneNames,control,experiment,logFC,p-value
FAM8A1_ENSTGUG00000022581.1,0.2573734,0.28627056,-0.028897166,0.00020679058061035414
_ENSTGUG00000024326.1,0.016964722,0.015593821,0.0013709012,0.4678475392371759
_ENSTGUG00000024027.1,0.0070075146,0.007228572,-0.00022105733,0.8629580972799469
_ENSTGUG00000027813.1,0.00061000884,0.0012949099,-0.000684901,0.08585290749404483
CAP2_ENSTGUG00000005956.2,0.1091359,0.113430895,-0.0042949915,0.39804488396713733
ZNF704_ENSTGUG00000011648.2,0.063055135,0.09196523,-0.028910093,1.5669878893724146e-12
RBM24_ENSTGUG00000005984.2,0.0056873695,0.011762323,-0.0060749534,3.752923917964055e-06
ATXN1_ENSTGUG00000005986.2,0.08764968,0.093044296,-0.0053946152,0.224380043246758
GMPR_ENSTGUG00000028828.1,0.11033596,0.14088766,-0.030551702,7.88398754308143e-09
MYLIP_ENSTGUG00000006026.2,0.059897453,0.071856976,-0.011959523,0.0019496684815998718
PAG1_ENSTGUG00000011651.2,0.09244442,0.13401635,-0.04157193,1.2675318888008828e-17
DTNBP1_ENSTGUG00000029768.1,0.22864898,0.2758048,-0.047155812,2.0167875518556202e-11
_ENSTGUG00000011655.2,0.15997404,0.19041975,-0.03044571,3.278715763258533e-07
FABP5_ENSTGUG00000024298.1,0.367223,0.43109927,-0.06387627,5.855808149293988e-11
PMP2_ENSTGUG00000011663.2,0.03001457,0.04965645,-0.01964188,1.051691379926601e-07
JARID2_ENSTGUG00000006054.2,0.12352034,0.15057573,-0.02705539,7.347502000024337e-08
FABP4_ENSTGUG00000011667.2,0.009521344,0.06849412,-0.058972776,5.045969641833275e-73
IMPA1_ENSTGUG00000011668.2,0.12032317,0.1476714,-0.027348228,1.473934995504159e-07
ZFAND1_ENSTGUG00000011672.2,0.052267876,0.058026858,-0.005758982,0.08988099358962681
_ENSTGUG00000024668.1,0.00018688693,0.0008239076,-0.0006370207,0.010570677532221254
CHMP4C_ENSTGUG00000011678.2,0.0374833,0.03238045,0.0051028505,0.08826088632179596
CD83_ENSTGUG00000028034.1,0.0012645609,0.0074794856,-0.0062149246,5.172755541280937e-10
SNX16_ENSTGUG00000011685.2,0.02568251,0.029485859,-0.0038033482,0.12351538757147194
RNF182_ENSTGUG00000027109.1,0.044616256,0.04333072,0.0012855344,0.6842469873922576
_ENSTGUG00000029664.1,0.027387206,0.025463104,0.0019241013,0.38796848067789425
_ENSTGUG00000023332.1,0.021482788,0.021293858,0.00018892996,0.9220433805057451
RALYL_ENSTGUG00000011689.2,0.060456593,0.05795794,0.0024986528,0.5109436225544689
MCUR1_ENSTGUG00000006092.2,0.06963179,0.076910794,-0.007279001,0.06569448432625706
_ENSTGUG00000020898.1,0.0017661708,0.0014894209,0.00027674995,0.5878508928169067
_ENSTGUG00000022682.1,0.0017987275,0.0014894209,0.00030930666,0.5455169707984482
_ENSTGUG00000011693.2,0.0,0.00012353578,-0.00012353578,0.17034822985202963
_ENSTGUG00000011697.2,0.0042981636,0.003765606,0.0005325575,0.5349796770622108
RANBP9_ENSTGUG00000006110.2,0.22411679,0.26516443,-0.041047648,7.4205293056543035e-09
LRRCC1_ENSTGUG00000011701.2,0.026777744,0.028550887,-0.0017731432,0.44420067148251796
E2F5_ENSTGUG00000011713.2,0.17971049,0.22916104,-0.049450547,3.3267381770641063e-15
CA13_ENSTGUG00000011722.2,0.0007724535,0.00069052086,8.193264e-05,0.824361879502013
SIRT5_ENSTGUG00000006129.2,0.09704266,0.113045335,-0.016002677,0.0009435832027878667
_ENSTGUG00000018507.2,0.0,8.700409e-05,-8.700409e-05,0.3173194952946244
KIF13A_ENSTGUG00000006146.2,0.06782717,0.07381891,-0.0059917346,0.11777776646085672
_ENSTGUG00000018183.2,0.012955471,0.015319104,-0.0023636334,0.19669877726518156
_ENSTGUG00000025745.1,0.0,0.0,0.0,
_ENSTGUG00000024730.1,0.0036211642,0.0043104314,-0.0006892672,0.3897882759980864
NHLRC1_ENSTGUG00000026190.1,0.0021902695,0.0031746612,-0.0009843917,0.1993823061780852
_ENSTGUG00000025421.1,0.00062808505,0.00040516513,0.00022291992,0.5461984083135125
_ENSTGUG00000019548.1,0.005402762,0.0062338235,-0.0008310615,0.42238681482293305
TPMT_ENSTGUG00000006234.2,0.061647076,0.08152153,-0.019874457,3.9111485236079187e-07
CA2_ENSTGUG00000011728.2,0.1535535,0.25685936,-0.10330586,2.387085185429052e-51
ATP6V0D2_ENSTGUG00000011739.2,0.0007105703,0.0013677604,-0.00065719004,0.12683334885002126
KDM1B_ENSTGUG00000006257.2,0.063722745,0.08374061,-0.020017862,1.1608385022889713e-06
DEK_ENSTGUG00000006271.2,0.09004123,0.10330011,-0.013258882,0.0034441313167922053
WWP1_ENSTGUG00000011745.2,0.26875088,0.30250221,-0.03375134,1.1514104427044535e-05
_ENSTGUG00000019962.1,0.0,0.0,0.0,
RNF144B_ENSTGUG00000026004.1,0.024285708,0.02642295,-0.002137242,0.37573579223127374
ID4_ENSTGUG00000006296.2,0.4363534,0.5543444,-0.11799103,5.651644057125423e-25
MBOAT1_ENSTGUG00000006301.2,0.011332507,0.018352818,-0.0070203105,5.9996927566122306e-05
E2F3_ENSTGUG00000006335.2,0.017253313,0.020341747,-0.0030884333,0.11680697573449958
RMDN1_ENSTGUG00000011752.2,0.18727939,0.21979897,-0.03251958,7.248680019141827e-07
_ENSTGUG00000023584.1,9.3732684e-05,3.938022e-05,5.4352466e-05,0.5929303865486726
CDKAL1_ENSTGUG00000006350.2,0.08752218,0.104599215,-0.017077036,0.00016358218620353133
CNGB3_ENSTGUG00000011777.2,0.000549636,0.0013137677,-0.0007641317,0.11156532753742532
MMP16_ENSTGUG00000011786.2,0.05971108,0.08357026,-0.023859177,3.5217910839516043e-09
RIPK2_ENSTGUG00000011791.2,0.012109307,0.016583288,-0.0044739814,0.014585280762713563
_ENSTGUG00000011796.2,0.006454354,0.0049007866,0.0015535676,0.1630350306105977
OSGIN2_ENSTGUG00000011801.2,0.51213455,0.5727145,-0.060579956,1.7828480144638023e-11
_ENSTGUG00000023495.1,0.10851983,0.13849626,-0.029976435,2.208813202954246e-09
NBN_ENSTGUG00000011805.2,0.05911458,0.06670124,-0.0075866617,0.037660628681495764
_ENSTGUG00000021422.1,0.0002444505,0.00021226384,3.2186654e-05,0.8925001478118268
DECR1_ENSTGUG00000011815.2,0.12784429,0.15244868,-0.024604395,3.722990018412667e-06
PRL_ENSTGUG00000006368.2,0.00019896442,0.00013971372,5.92507e-05,0.756017143335152
TRHR_ENSTGUG00000012244.2,0.0020466757,0.0027121159,-0.0006654402,0.34649797295296014
CALB1_ENSTGUG00000011825.2,0.08888131,0.0955789,-0.006697595,0.1868098399036197
NRSN1_ENSTGUG00000006383.2,0.22611521,0.21006373,0.016051486,0.024289845281984582
_ENSTGUG00000011889.2,0.08399104,0.08691817,-0.0029271245,0.48138090393933064
_ENSTGUG00000024818.1,0.0,0.0,0.0,
DCDC2_ENSTGUG00000006389.2,0.02506488,0.02876946,-0.0037045795,0.10735171874891206
_ENSTGUG00000022386.1,0.0009147421,9.4930714e-05,0.0008198114,0.012014375713083322
_ENSTGUG00000019867.1,0.0015966166,0.00086923747,0.0007273791,0.20292034536265993
VIRMA_ENSTGUG00000011895.2,0.063363776,0.084337994,-0.020974219,1.3818464946629057e-07
NUDCD1_ENSTGUG00000012245.2,0.090461075,0.10712942,-0.016668342,0.00028078190622127344
_ENSTGUG00000022701.1,0.00022953242,0.0001492149,8.031752e-05,0.6760322832765184
MRS2_ENSTGUG00000006397.2,0.1352997,0.15768763,-0.022387937,7.945688779419724e-06
TMEM64_ENSTGUG00000011830.2,0.71409005,0.89226305,-0.178173,2.9452706233958104e-59
SKAP2_ENSTGUG00000002889.2,0.044675007,0.080852516,-0.03617751,6.219167353466157e-20
AVL9_ENSTGUG00000005196.2,0.11406099,0.13187763,-0.01781664,0.00037804052169879284
CLPTM1L_ENSTGUG00000008431.2,0.3079429,0.31238526,-0.004442364,0.5918121921473571
ENY2_ENSTGUG00000026246.1,0.25612828,0.2775787,-0.02145043,0.0037306234164398476
ESRP1_ENSTGUG00000011907.2,0.0014472327,0.0014175092,2.972351e-05,0.9591156809636183
_ENSTGUG00000020082.1,0.14045592,0.11502806,0.025427856,7.622273625075277e-06
GPLD1_ENSTGUG00000006411.2,0.1398409,0.15340261,-0.013561711,0.007005131619912126
CDH18_ENSTGUG00000007189.2,0.13444191,0.101402044,0.033039868,4.912689197862448e-09
NECAB1_ENSTGUG00000011832.2,0.001135171,0.0010338551,0.000101315905,0.8261621413507595
EBAG9_ENSTGUG00000012252.2,0.31421858,0.37257826,-0.058359683,4.602553406982377e-12
LPCAT1_ENSTGUG00000008465.2,0.09701074,0.08513631,0.01187443,0.011734693666002058
_ENSTGUG00000023324.1,0.00089057995,0.0005515907,0.00033898925,0.36528460108601235
_ENSTGUG00000005230.2,0.001073255,0.0009677333,0.0001055217,0.8292638971812636
DPY19L4_ENSTGUG00000011910.2,0.12898827,0.13567418,-0.0066859126,0.2081812031421941
_ENSTGUG00000024591.1,0.0054792436,0.0046311365,0.00084810704,0.366131198153712
_ENSTGUG00000019846.1,0.08691042,0.11042538,-0.023514964,2.37607209166913e-07
HOXA1_ENSTGUG00000021639.1,0.0,0.0,0.0,
ALDH5A1_ENSTGUG00000006463.2,0.15855937,0.16952372,-0.010964349,0.06813987515941204
SYBU_ENSTGUG00000012263.2,0.13631698,0.18881851,-0.05250153,1.097588012134567e-17
BASP1_ENSTGUG00000007269.2,0.6784576,0.7087739,-0.030316293,0.014254474954807929
_ENSTGUG00000029505.1,0.054819524,0.068729244,-0.01390972,5.895954192347668e-05
NDUFS6_ENSTGUG00000008501.2,0.5231479,0.5834403,-0.060292423,5.270779415698746e-09
HOXA2_ENSTGUG00000002902.2,0.00031306766,0.00011320883,0.00019985883,0.3994905130460582
_ENSTGUG00000011921.2,0.0013706966,0.0037747368,-0.0024040402,0.0011814938317777734
FKBP9_ENSTGUG00000005249.2,0.054594163,0.052961458,0.0016327053,0.651439138553291
C8orf88_ENSTGUG00000011833.2,9.253717e-05,0.00028956088,-0.0001970237,0.2848755716310978
_ENSTGUG00000028991.1,0.013081404,0.017545287,-0.004463882,0.02089409661139508
KCNV1_ENSTGUG00000012266.2,0.031085374,0.025624402,0.005460972,0.043526756376176035
IRX4_ENSTGUG00000008502.2,0.0024840075,0.0036650072,-0.0011809997,0.09908532593519763
_ENSTGUG00000027711.1,0.007618275,0.008694652,-0.0010763765,0.29425982606368883
HOXA4_ENSTGUG00000002905.2,0.00020609818,0.0,0.00020609818,0.15958206628827068
IRX2_ENSTGUG00000008512.2,0.0013226576,0.002802272,-0.0014796145,0.025361137236827768
PIP4P2_ENSTGUG00000011835.2,0.116312504,0.13361181,-0.01729931,0.0007832621451478894
KIAA0319_ENSTGUG00000006487.2,0.20168197,0.16887747,0.032804504,2.295508705276836e-06
MYO10_ENSTGUG00000007271.2,0.13633132,0.15835862,-0.022027299,6.858346151120466e-05
HOXA6_ENSTGUG00000002913.2,0.00045298046,0.00054585736,-9.28769e-05,0.790907765398497
IRX1_ENSTGUG00000008517.2,0.0055628372,0.012959962,-0.0073971245,3.225882361537506e-07
HOXA5_ENSTGUG00000002906.2,0.0007359091,0.0006498068,8.6102285e-05,0.7980067050054762
NT5C3A_ENSTGUG00000005280.2,0.32258466,0.2943511,0.028233558,0.0006702218514045444
_ENSTGUG00000023995.1,0.0011113776,0.0003669178,0.0007444598,0.016443441578003943
SALL3_ENSTGUG00000006541.2,0.061980207,0.09467014,-0.032689933,6.048999613322025e-16
HOXA7_ENSTGUG00000002917.2,0.00041821296,0.0011434932,-0.00072528026,0.0901379072996883
_ENSTGUG00000029356.1,0.004829984,0.004580083,0.00024990132,0.794537452349118
_ENSTGUG00000028370.1,0.0010146782,0.00033343205,0.0006812461,0.020049148789918526
_ENSTGUG00000002921.2,7.688054e-05,0.0,7.688054e-05,0.317320160065974
_ENSTGUG00000018032.2,0.0,0.0,0.0,
OTUD6B_ENSTGUG00000011837.2,0.18939641,0.19695091,-0.0075545013,0.24021142592688044
HOXA10_ENSTGUG00000002924.2,0.0,0.0,0.0,
HOXA11_ENSTGUG00000002925.2,0.00028431707,0.00023973238,4.458468e-05,0.8014966470429246
INTS8_ENSTGUG00000011926.2,0.050599113,0.056962274,-0.006363161,0.059097324585991
_ENSTGUG00000002927.2,0.01998866,0.019285033,0.00070362724,0.7159110018639258
SLC26A7_ENSTGUG00000011839.2,0.00081815134,0.00042154753,0.0003966038,0.269194921755222
ATP9B_ENSTGUG00000006549.2,0.19900374,0.20978694,-0.0107831955,0.10711652706874088
EVX1_ENSTGUG00000002928.2,0.0003011027,0.00032031175,-1.9209052e-05,0.9390553840028653
HIBADH_ENSTGUG00000002930.2,0.08264743,0.09434739,-0.01169996,0.005818865864174578
