0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
CPE_ENSTGUG00000005938.2,APP_ENSTGUG00000013557.2,NR2F2_ENSTGUG00000008599.2,RPS29_ENSTGUG00000021284.1,TRMT6_ENSTGUG00000002195.2,ST8SIA6_ENSTGUG00000001296.2,AGT_ENSTGUG00000009957.2,TUBA1B_ENSTGUG00000010166.2,CLSTN3_ENSTGUG00000013253.2,SPARC_ENSTGUG00000000770.2,ATP1A1_ENSTGUG00000020927.1,SYT1_ENSTGUG00000007572.2,RPS12_ENSTGUG00000021418.1,APOH_ENSTGUG00000004239.2,RPL23_ENSTGUG00000002167.2,PDXK_ENSTGUG00000021550.1,MAP2_ENSTGUG00000011322.2,NKX2-2_ENSTGUG00000007528.2,CNP_ENSTGUG00000002478.2,_ENSTGUG00000008412.2
_ENSTGUG00000022310.1,ERBB4_ENSTGUG00000011479.2,GNG10_ENSTGUG00000001275.2,RPL23_ENSTGUG00000002167.2,_ENSTGUG00000008926.2,JCAD_ENSTGUG00000001046.2,_ENSTGUG00000020332.1,MAP2_ENSTGUG00000011322.2,CLSTN1_ENSTGUG00000003610.2,FABP7_ENSTGUG00000011826.2,SYT1_ENSTGUG00000007572.2,SCG5_ENSTGUG00000011734.2,ACTB_ENSTGUG00000004138.2,SFTPC_ENSTGUG00000023951.1,PFN1_ENSTGUG00000021125.1,_ENSTGUG00000021641.1,TUBA1B_ENSTGUG00000010166.2,EGF_ENSTGUG00000004206.2,_ENSTGUG00000022984.1,JCAD_ENSTGUG00000001046.2
_ENSTGUG00000004094.2,ATP6V0C_ENSTGUG00000003256.2,RPL13_ENSTGUG00000007874.2,RPS20_ENSTGUG00000011097.2,SYT1_ENSTGUG00000007572.2,C6orf62_ENSTGUG00000029400.1,LTF_ENSTGUG00000006576.2,_ENSTGUG00000024929.1,ATP6V0C_ENSTGUG00000003256.2,LTF_ENSTGUG00000006576.2,_ENSTGUG00000022310.1,_ENSTGUG00000012363.2,PSAP_ENSTGUG00000004140.2,_ENSTGUG00000023210.1,_ENSTGUG00000024584.1,_ENSTGUG00000022686.1,CPLX2_ENSTGUG00000023893.1,NCAN_ENSTGUG00000019059.1,DAB1_ENSTGUG00000009639.2,PLTP_ENSTGUG00000006044.2
SLC17A6_ENSTGUG00000004570.2,_ENSTGUG00000006670.2,TMSB4X_ENSTGUG00000008243.2,RPS13_ENSTGUG00000008572.2,ATP2B2_ENSTGUG00000004296.2,TMSB4X_ENSTGUG00000008243.2,GJA1_ENSTGUG00000011847.2,ARPP21_ENSTGUG00000001697.2,PCSK2_ENSTGUG00000002403.2,AQP4_ENSTGUG00000020250.1,ATP6V0C_ENSTGUG00000003256.2,THY1_ENSTGUG00000000398.2,FTH1_ENSTGUG00000005913.2,_ENSTGUG00000023681.1,SAT1_ENSTGUG00000007289.2,NDUFA4L2_ENSTGUG00000024308.1,GAPDH_ENSTGUG00000013338.2,_ENSTGUG00000019536.1,SFTPC_ENSTGUG00000023951.1,APLP2_ENSTGUG00000000549.2
SERPINI1_ENSTGUG00000011067.2,RELN_ENSTGUG00000002836.2,_ENSTGUG00000022096.1,RPL19_ENSTGUG00000019795.1,PENK_ENSTGUG00000011112.2,EFEMP1_ENSTGUG00000006870.2,SPARC_ENSTGUG00000000770.2,CAMK2A_ENSTGUG00000000887.2,SCG5_ENSTGUG00000011734.2,_ENSTGUG00000009552.2,NRXN1_ENSTGUG00000005731.2,CHL1_ENSTGUG00000009997.2,_ENSTGUG00000015659.2,_ENSTGUG00000008412.2,RPL34_ENSTGUG00000027399.1,_ENSTGUG00000020625.1,CIRBP_ENSTGUG00000000884.2,_ENSTGUG00000027881.1,IQCK_ENSTGUG00000022019.1,CNP_ENSTGUG00000002478.2
NRXN1_ENSTGUG00000005731.2,CHL1_ENSTGUG00000009997.2,RPL23_ENSTGUG00000002167.2,SDC2_ENSTGUG00000019500.1,SYT4_ENSTGUG00000001618.2,_ENSTGUG00000020625.1,_ENSTGUG00000020149.1,DNM1_ENSTGUG00000003768.2,ATP1B3_ENSTGUG00000008432.2,F3_ENSTGUG00000005647.2,_ENSTGUG00000006670.2,ADCYAP1R1_ENSTGUG00000000306.2,CSF1R_ENSTGUG00000000965.2,_ENSTGUG00000013282.2,_ENSTGUG00000027908.1,ALPL_ENSTGUG00000020178.1,NDUFAB1_ENSTGUG00000005910.2,IGFBP2_ENSTGUG00000020693.1,GPRC5B_ENSTGUG00000009310.2,RHOA_ENSTGUG00000006623.2
_ENSTGUG00000007152.2,THY1_ENSTGUG00000000398.2,_ENSTGUG00000007086.2,RPL39_ENSTGUG00000003411.2,SLC17A6_ENSTGUG00000004570.2,ITM2A_ENSTGUG00000002582.2,_ENSTGUG00000019084.1,OLFM1_ENSTGUG00000006000.2,EML6_ENSTGUG00000007118.2,QKI_ENSTGUG00000009383.2,RTN1_ENSTGUG00000013003.2,SST_ENSTGUG00000027783.1,_ENSTGUG00000004224.2,TMSB15B_ENSTGUG00000006515.2,RPLP2_ENSTGUG00000009801.2,JCAD_ENSTGUG00000001046.2,_ENSTGUG00000003344.2,PODXL2_ENSTGUG00000008022.2,RRBP1_ENSTGUG00000005958.2,ST8SIA6_ENSTGUG00000001296.2
CACNA2D1_ENSTGUG00000002536.2,_ENSTGUG00000023451.1,RPL18A_ENSTGUG00000006444.2,RPL14_ENSTGUG00000026863.1,ATP1A1_ENSTGUG00000020927.1,_ENSTGUG00000028881.1,NMT2_ENSTGUG00000001356.2,PLCB1_ENSTGUG00000006294.2,RTN4_ENSTGUG00000007090.2,PROM1_ENSTGUG00000009725.2,ATP1B3_ENSTGUG00000008432.2,NELL1_ENSTGUG00000004458.2,_ENSTGUG00000001664.2,GNG5_ENSTGUG00000021033.1,_ENSTGUG00000026907.1,RGS5_ENSTGUG00000019064.1,ATP6V1E1_ENSTGUG00000020869.1,SLC35F1_ENSTGUG00000028242.1,FGFR2_ENSTGUG00000011228.2,BSG_ENSTGUG00000000614.2
SLC22A15_ENSTGUG00000013386.2,NELL1_ENSTGUG00000004458.2,RPL34_ENSTGUG00000027399.1,MLC1_ENSTGUG00000003918.2,SPOCK1_ENSTGUG00000001204.2,FOS_ENSTGUG00000012217.2,CLU_ENSTGUG00000028547.1,PPIP5K1_ENSTGUG00000010276.2,RTN1_ENSTGUG00000013003.2,GRM3_ENSTGUG00000002399.2,SERPINI1_ENSTGUG00000011067.2,CLSTN1_ENSTGUG00000003610.2,IFI30_ENSTGUG00000000388.2,_ENSTGUG00000011194.2,HBAD_ENSTGUG00000004381.2,FN1_ENSTGUG00000002978.2,ATP5F1B_ENSTGUG00000015620.2,AGT_ENSTGUG00000009957.2,_ENSTGUG00000024592.1,_ENSTGUG00000023209.1
SYT1_ENSTGUG00000007572.2,SCG5_ENSTGUG00000011734.2,RPS20_ENSTGUG00000011097.2,RPS23_ENSTGUG00000017554.2,PCSK2_ENSTGUG00000002403.2,ALPL_ENSTGUG00000020178.1,_ENSTGUG00000021267.1,NGEF_ENSTGUG00000007310.2,ATP2A2_ENSTGUG00000005728.2,MLC1_ENSTGUG00000003918.2,SYNPR_ENSTGUG00000018356.2,NTRK2_ENSTGUG00000003077.2,FERMT1_ENSTGUG00000006448.2,DAB1_ENSTGUG00000009639.2,H1-0_ENSTGUG00000010521.2,C11orf96_ENSTGUG00000010210.2,RAB6A_ENSTGUG00000013470.2,GPM6B_ENSTGUG00000008166.2,_ENSTGUG00000021560.1,SLC2A1_ENSTGUG00000002201.2
ATP1B3_ENSTGUG00000008432.2,GAD2_ENSTGUG00000001148.2,_ENSTGUG00000024584.1,_ENSTGUG00000012670.2,NPTX2_ENSTGUG00000008623.2,DUSP1_ENSTGUG00000000299.2,ATP1A2_ENSTGUG00000027873.1,SNCB_ENSTGUG00000000512.2,GRIA2_ENSTGUG00000005484.2,_ENSTGUG00000005933.2,SCG5_ENSTGUG00000011734.2,SNCB_ENSTGUG00000000512.2,ASAH1_ENSTGUG00000007052.2,UGT8_ENSTGUG00000001840.2,_ENSTGUG00000029470.1,RPS23_ENSTGUG00000017554.2,SNCA_ENSTGUG00000003065.2,_ENSTGUG00000002424.2,NINJ2_ENSTGUG00000012626.2,CFD_ENSTGUG00000000656.2
SERINC1_ENSTGUG00000011827.2,GABRA1_ENSTGUG00000001457.2,EEF1B2_ENSTGUG00000009931.2,RPL24_ENSTGUG00000023416.1,CLSTN1_ENSTGUG00000003610.2,ABCB1_ENSTGUG00000001378.2,AQP4_ENSTGUG00000020250.1,_ENSTGUG00000018843.1,NELL2_ENSTGUG00000005974.2,SLC4A4_ENSTGUG00000001611.2,_ENSTGUG00000004094.2,ITFG1_ENSTGUG00000008754.2,P2RY12_ENSTGUG00000026372.1,RHOA_ENSTGUG00000006623.2,_ENSTGUG00000026720.1,_ENSTGUG00000019957.1,STMN1_ENSTGUG00000017327.2,_ENSTGUG00000027987.1,ANK3_ENSTGUG00000005344.2,SLC16A7_ENSTGUG00000029204.1
_ENSTGUG00000006670.2,_ENSTGUG00000026378.1,RPL32_ENSTGUG00000010472.2,RPLP2_ENSTGUG00000009801.2,_ENSTGUG00000020792.1,POLR2B_ENSTGUG00000002929.2,_ENSTGUG00000005933.2,RBFOX1_ENSTGUG00000004562.2,GPM6A_ENSTGUG00000006358.2,SDC2_ENSTGUG00000019500.1,CNTN1_ENSTGUG00000005721.2,ATP6AP2_ENSTGUG00000006635.2,_ENSTGUG00000029470.1,ANK3_ENSTGUG00000005344.2,_ENSTGUG00000019166.1,TAGLN2_ENSTGUG00000027715.1,YKT6_ENSTGUG00000021816.1,MARCKS_ENSTGUG00000026006.1,SCD_ENSTGUG00000007683.2,ITM2A_ENSTGUG00000002582.2
ATP6V0C_ENSTGUG00000003256.2,ADCYAP1R1_ENSTGUG00000000306.2,RPS13_ENSTGUG00000008572.2,RPL23A_ENSTGUG00000006170.2,_ENSTGUG00000022310.1,PDXK_ENSTGUG00000021550.1,KCNJ10_ENSTGUG00000020285.1,_ENSTGUG00000026378.1,SERINC1_ENSTGUG00000011827.2,SOX9_ENSTGUG00000002882.2,SLC22A15_ENSTGUG00000013386.2,PSAP_ENSTGUG00000004140.2,CLTA_ENSTGUG00000000114.2,GLUL_ENSTGUG00000017345.2,HBAA_ENSTGUG00000004372.2,RAPGEF5_ENSTGUG00000002700.2,ARPP21_ENSTGUG00000001697.2,JPH3_ENSTGUG00000007640.2,_ENSTGUG00000021267.1,_ENSTGUG00000020625.1
RTN1_ENSTGUG00000013003.2,SYNPR_ENSTGUG00000018356.2,RPL35A_ENSTGUG00000009679.2,RPL35_ENSTGUG00000007196.2,RTN1_ENSTGUG00000013003.2,SLC40A1_ENSTGUG00000010889.2,NUP93_ENSTGUG00000018220.2,YKT6_ENSTGUG00000021816.1,DPP6_ENSTGUG00000000647.2,ID4_ENSTGUG00000006296.2,ATP2A2_ENSTGUG00000005728.2,CLSTN3_ENSTGUG00000013253.2,MAFB_ENSTGUG00000025008.1,_ENSTGUG00000024650.1,C1QB_ENSTGUG00000024860.1,COLEC12_ENSTGUG00000010195.2,BASP1_ENSTGUG00000007269.2,C1QL2_ENSTGUG00000020805.1,TIMP4_ENSTGUG00000019602.1,_ENSTGUG00000011194.2
