,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.04017990845710695,13.854996654320281,59.13805970356241,0.3915272082983421,0.5314977267791068,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.010038053716928421,0.014243936590997161,20.393469930559103,-1.9498465064771153e-09,1.0,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.015048383273307892,-6.837880013394342,18.572818633816713,0.033323669777537646,0.8551529089320791,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.10039074034196735,4.7868882628826395,7.019014532891549,0.04557007129159274,0.830959234797944,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.04020955807061093,-5.340324138926348,11.343680107736084,0.025954563004404463,0.8720113329549769,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.02512122619857527,0.03976519390884332,14.451001710935028,1.2236214246286181e-06,0.9991174008412167,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.005010329556379471,-10.599186289329213,60.96129222570898,0.047139105187378405,0.8281183979037595,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.00502772416054895,-10.608700101059632,60.93466034549048,0.04721523247243731,0.8279818326818809,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.020076107433856842,8.050609725481879,17.88745404139622,0.0765298573188673,0.7820563145245166,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.020058712829687363,-8.028133294836634,17.858504414179095,0.07642191016444855,0.7822061975715361,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.11041857581494036,3.040203697627989,6.6847851416177795,0.02143860224754235,0.883590417008927,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.00502772416054895,-10.60870010105961,60.93466034549036,0.04721523247243731,0.8279818326818809,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.00502772416054895,-10.60455067523968,60.94628991147614,0.04718202267353,0.828041393764285,1.0,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.18046758720664807,-7.497749562344496,7.095351557046033,0.29826597808380484,0.5849715443234144,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.010020659112758942,0.013969964703986109,20.39355631738441,-4.9368615862022125e-09,1.0,1.0,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.08493309551357531,-0.01606688736373762,7.735323784648996,3.666986572170572e-07,0.9995168358589982,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.00502772416054895,10.716245124090042,62.62835675123507,0.04727525575940028,0.8278742377934137,1.0,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.010020659112758942,-11.597868864473226,57.436726156276094,0.09610810756749544,0.7565510123573475,1.0,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.02512122619857527,0.17650572162274739,20.3538656220908,7.887353230984218e-06,0.9977591894731879,1.0,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.045162544424093155,-4.666029515811832,9.91182795114887,0.022127708225454512,0.8817478668443847,1.0,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.025086436990236313,-8.373435699603872,17.87464735870134,0.08071975069996995,0.7763243863273658,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.020076107433856842,0.007391892662396667,14.460052371045743,-7.403997415167396e-10,1.0,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.06518646804544156,-10.522290455253025,16.963294410452715,0.2849819422071391,0.5934543126507563,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.00502772416054895,-10.604550675239679,60.94628991147611,0.04718202267353,0.828041393764285,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.12044074833393384,-3.8958000694299053,7.106745476119446,0.018246821802478053,0.8925479925382123,1.0,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.015048383273307892,-6.8323701648973065,18.573058822053735,0.033285748099615375,0.8552344380572428,1.0,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.00502772416054895,10.71624512409005,62.628356751235216,0.04727525575940028,0.8278742377934137,1.0,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.49662573389300196,-2.0472129030650756,3.4572107633853326,0.07420272065996869,0.7853131170156229,1.0,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.0,,,,,,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.010020659112758942,0.01396909906358715,20.39372844172431,-4.9632902232588094e-09,1.0,1.0,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.010038053716928421,11.699955589144338,59.02879323232129,0.09625684347379604,0.7563686680581696,1.0,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.010020659112758942,-11.601240048356678,57.42798045744171,0.09616161488974839,0.7564853967102705,1.0,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.10042001300759125,6.428252067474955,8.631985287677727,0.09475795674094911,0.7582133638934,1.0,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.020041318225517885,-8.030696641620956,17.858377792079306,0.07645766218421102,0.7821565438013063,1.0,VIRMA_ENSTGUG00000011895.2
SKAP2_ENSTGUG00000002889.2,0.005041551939934021,-10.6078403245109,60.93710347931725,0.04720833746861075,0.827994196922795,1.0,SKAP2_ENSTGUG00000002889.2
_ENSTGUG00000020082.1,0.010038053716928421,-11.605494605534785,57.41698219757764,0.09622913245591747,0.7564026289508532,1.0,_ENSTGUG00000020082.1
CDH18_ENSTGUG00000007189.2,0.020041318225517885,7.333102751964954,18.5976197037601,0.03641240100485277,0.8486663548429507,1.0,CDH18_ENSTGUG00000007189.2
LPCAT1_ENSTGUG00000008465.2,0.005010329556379471,-10.604549002102962,60.94625165708473,0.04718202679694272,0.8280413863676681,1.0,LPCAT1_ENSTGUG00000008465.2
ALDH5A1_ENSTGUG00000006463.2,0.08527125017447473,-6.481874601275005,8.622716912837532,0.09570372972700625,0.757047546665425,1.0,ALDH5A1_ENSTGUG00000006463.2
SYBU_ENSTGUG00000012263.2,0.01508317248164685,0.06418618585816126,20.3679354724996,2.022076987628907e-06,0.9988654105042328,1.0,SYBU_ENSTGUG00000012263.2
FKBP9_ENSTGUG00000005249.2,0.01508317248164685,0.06418618585816259,20.367935472499624,2.022076987628907e-06,0.9988654105042328,1.0,FKBP9_ENSTGUG00000005249.2
_ENSTGUG00000028991.1,0.0,,,,,,_ENSTGUG00000028991.1
KCNV1_ENSTGUG00000012266.2,0.0,,,,,,KCNV1_ENSTGUG00000012266.2
KIAA0319_ENSTGUG00000006487.2,0.030105456313064386,0.004915893540490903,11.817411302821705,3.2584068776486674e-10,0.9999855973396745,1.0,KIAA0319_ENSTGUG00000006487.2
IRX1_ENSTGUG00000008517.2,0.015030988669138413,-11.929850336565258,57.59747932806825,0.05772739233988666,0.8101246293397267,1.0,IRX1_ENSTGUG00000008517.2
NDUFAF6_ENSTGUG00000011949.2,0.0,,,,,,NDUFAF6_ENSTGUG00000011949.2
TRIQK_ENSTGUG00000022552.1,0.010038053716928421,0.014152316145911116,20.393513125163274,-3.4682230420912674e-09,1.0,1.0,TRIQK_ENSTGUG00000022552.1
C8orf37_ENSTGUG00000011955.2,0.025051647781897356,-3.1986422253066276,14.566776908869956,0.010246861057154888,0.9193704382697434,1.0,C8orf37_ENSTGUG00000011955.2
GABBR2_ENSTGUG00000008527.2,0.07027506578494755,0.036842331495961674,8.72396850351184,1.5695657396008755e-06,0.9990003920463092,1.0,GABBR2_ENSTGUG00000008527.2
