,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
GEM_ENSTGUG00000011878.2,0.0,,,,,,GEM_ENSTGUG00000011878.2,radial glia 1
_ENSTGUG00000002953.2,0.0,,,,,,_ENSTGUG00000002953.2,radial glia 1
CPQ_ENSTGUG00000011977.2,0.0,,,,,,CPQ_ENSTGUG00000011977.2,radial glia 1
OTULINL_ENSTGUG00000007437.2,0.0,,,,,,OTULINL_ENSTGUG00000007437.2,radial glia 1
SLC66A2_ENSTGUG00000023857.1,0.0,,,,,,SLC66A2_ENSTGUG00000023857.1,radial glia 1
SLC39A6_ENSTGUG00000008614.2,0.0,,,,,,SLC39A6_ENSTGUG00000008614.2,radial glia 1
TRIO_ENSTGUG00000007442.2,0.0,,,,,,TRIO_ENSTGUG00000007442.2,radial glia 1
_ENSTGUG00000005349.2,0.0,,,,,,_ENSTGUG00000005349.2,radial glia 1
LAPTM4B_ENSTGUG00000011987.2,1.25,-0.508194561325816,4.012045731558043,0.015610858519575999,0.9005683424824447,1.0,LAPTM4B_ENSTGUG00000011987.2,radial glia 1
ADNP2_ENSTGUG00000006688.2,0.0,,,,,,ADNP2_ENSTGUG00000006688.2,radial glia 1
MATN2_ENSTGUG00000011992.2,0.0,,,,,,MATN2_ENSTGUG00000011992.2,radial glia 1
PLEKHA8_ENSTGUG00000002993.2,0.0,,,,,,PLEKHA8_ENSTGUG00000002993.2,radial glia 1
_ENSTGUG00000027879.1,0.0,,,,,,_ENSTGUG00000027879.1,radial glia 1
ANKRD33B_ENSTGUG00000026776.1,0.0,,,,,,ANKRD33B_ENSTGUG00000026776.1,radial glia 1
COL15A1_ENSTGUG00000025718.1,0.0,,,,,,COL15A1_ENSTGUG00000025718.1,radial glia 1
BTD_ENSTGUG00000023167.1,0.0,,,,,,BTD_ENSTGUG00000023167.1,radial glia 1
POP1_ENSTGUG00000012011.2,0.0,,,,,,POP1_ENSTGUG00000012011.2,radial glia 1
GALNT15_ENSTGUG00000003115.2,0.0,,,,,,GALNT15_ENSTGUG00000003115.2,radial glia 1
SBK2_ENSTGUG00000021210.1,0.0,,,,,,SBK2_ENSTGUG00000021210.1,radial glia 1
RFTN1_ENSTGUG00000003139.2,0.0,,,,,,RFTN1_ENSTGUG00000003139.2,radial glia 1
ATPSCKMT_ENSTGUG00000007661.2,0.0,,,,,,ATPSCKMT_ENSTGUG00000007661.2,radial glia 1
SEMA5A_ENSTGUG00000007664.2,0.0,,,,,,SEMA5A_ENSTGUG00000007664.2,radial glia 1
MTRR_ENSTGUG00000007702.2,0.0,,,,,,MTRR_ENSTGUG00000007702.2,radial glia 1
