,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster,number_of_subsamples
0,CLU_ENSTGUG00000028547.1,11.055134486629463,-1.597289448681041,0.14311655288365874,111.50358805483508,4.5897384496316796e-26,1.6816801679450475e-22,CLU_ENSTGUG00000028547.1,astrocytes 2,10
1,CLU_ENSTGUG00000028547.1,9.88123357279528,-1.236241224185343,0.14114566506832568,68.95808142708779,1.0057867125186991e-16,3.661063633568065e-13,CLU_ENSTGUG00000028547.1,astrocytes 2,10
2,_ENSTGUG00000021879.1,4.421057017374916,-4.160825516068679,0.4648516679952872,49.194584841006076,2.317896966430694e-12,4.2185724789038626e-09,_ENSTGUG00000021879.1,astrocytes 2,10
3,CLU_ENSTGUG00000028547.1,10.316633839058039,-1.4579467078269923,0.14961940694594786,83.87064847067427,5.282298896350983e-20,1.1885172516789711e-17,CLU_ENSTGUG00000028547.1,astrocytes 2,10
4,_ENSTGUG00000021879.1,5.1969532542401184,-4.137370274588814,0.4013850980765465,72.36016329851384,1.7929703097630135e-17,2.0170915984833904e-15,_ENSTGUG00000021879.1,astrocytes 2,10
5,CLU_ENSTGUG00000028547.1,11.831242656230607,-1.57730503056298,0.1347397126350852,124.59855244639448,6.230651171201131e-29,1.4018965135202542e-26,CLU_ENSTGUG00000028547.1,astrocytes 2,10
6,_ENSTGUG00000021879.1,3.8720141911650985,-3.13792127269048,0.4053697720921767,36.95433301444518,1.2092865238567024e-09,1.3604473393387903e-07,_ENSTGUG00000021879.1,astrocytes 2,10
7,CLU_ENSTGUG00000028547.1,10.054669054651463,-1.2936636785950215,0.1502438666312442,64.92038599421039,7.798608089834059e-16,1.754686820212663e-13,CLU_ENSTGUG00000028547.1,astrocytes 2,10
8,_ENSTGUG00000021879.1,5.270459585935205,-3.7435213279380637,0.4382783191711523,40.184362272965814,2.3109068366000768e-10,2.5997701911750866e-08,_ENSTGUG00000021879.1,astrocytes 2,10
9,CLU_ENSTGUG00000028547.1,12.061755673747909,-1.5474436545305723,0.13689573413298745,114.26258125214078,1.1414653040872204e-26,4.166348359918354e-23,CLU_ENSTGUG00000028547.1,astrocytes 2,10
10,CLU_ENSTGUG00000028547.1,10.969131749363546,-1.5605715796886637,0.13447485187059924,123.71064569341502,9.746952186777561e-29,3.6375625561053853e-25,CLU_ENSTGUG00000028547.1,astrocytes 2,10
11,_ENSTGUG00000021879.1,4.851687935276469,-4.2583312718647415,0.4755036686947587,46.70147841402832,8.26666187143318e-12,1.5425591052094314e-08,_ENSTGUG00000021879.1,astrocytes 2,10
12,CLU_ENSTGUG00000028547.1,11.548288495092224,-1.6587112827859576,0.14349009066186094,118.6765351329766,1.2327926776983209e-27,4.457778322557128e-24,CLU_ENSTGUG00000028547.1,astrocytes 2,10
13,_ENSTGUG00000021879.1,6.207323745986044,-3.7833251767415055,0.4454160228590885,39.04079337723397,4.15041785459772e-10,7.503955481112676e-07,_ENSTGUG00000021879.1,astrocytes 2,10
14,CLU_ENSTGUG00000028547.1,10.691229390574902,-1.7455317744118335,0.1394092456817365,143.84965530200816,3.832318151858562e-33,8.622715841681765e-31,CLU_ENSTGUG00000028547.1,astrocytes 2,10
15,FADS3_ENSTGUG00000005863.2,3.8181349403176617,-1.0931943631470051,0.17929684051239594,33.9472414579642,5.6626914366788345e-09,6.370527866263687e-07,FADS3_ENSTGUG00000005863.2,astrocytes 2,10
16,_ENSTGUG00000021879.1,3.623114132431992,-3.525228653881042,0.4917934937654175,32.448585515489185,1.2238800508287849e-08,9.179100381215885e-07,_ENSTGUG00000021879.1,astrocytes 2,10
17,CLU_ENSTGUG00000028547.1,11.052299366364664,-1.532295704340513,0.13519627888021368,116.52378108280277,3.6497649185516014e-27,8.211971066741102e-25,CLU_ENSTGUG00000028547.1,astrocytes 2,10
18,_ENSTGUG00000021879.1,5.282102408209343,-3.6644534668096975,0.4067146338151274,49.45332231104453,2.0314821490715364e-12,2.2854174177054786e-10,_ENSTGUG00000021879.1,astrocytes 2,10
