0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
_ENSTGUG00000026378.1,VSTM2A_ENSTGUG00000023664.1,RPL14_ENSTGUG00000026863.1,IFI30_ENSTGUG00000000388.2,SLC17A6_ENSTGUG00000004570.2,RPS29_ENSTGUG00000021284.1,JCAD_ENSTGUG00000001046.2,CLU_ENSTGUG00000028547.1,_ENSTGUG00000022310.1,_ENSTGUG00000024584.1,AQP4_ENSTGUG00000020250.1,UGT8_ENSTGUG00000001840.2,SNCB_ENSTGUG00000000512.2,C11orf96_ENSTGUG00000010210.2,_ENSTGUG00000009794.2,MLC1_ENSTGUG00000003918.2,FTH1_ENSTGUG00000005913.2,ARPP21_ENSTGUG00000001697.2,_ENSTGUG00000020332.1,CNP_ENSTGUG00000002478.2,_ENSTGUG00000012363.2,TMSB4X_ENSTGUG00000008243.2
_ENSTGUG00000004094.2,_ENSTGUG00000006670.2,RPLP1_ENSTGUG00000012661.2,_ENSTGUG00000029470.1,NELL2_ENSTGUG00000005974.2,_ENSTGUG00000024584.1,EFEMP1_ENSTGUG00000006870.2,_ENSTGUG00000013071.2,ATP6V0C_ENSTGUG00000003256.2,RPL23_ENSTGUG00000002167.2,CLU_ENSTGUG00000028547.1,DAB1_ENSTGUG00000009639.2,MAP2_ENSTGUG00000011322.2,RGS5_ENSTGUG00000019064.1,COLEC12_ENSTGUG00000010195.2,CST3_ENSTGUG00000006006.2,CREG1_ENSTGUG00000019513.1,CAMTA1_ENSTGUG00000002566.2,_ENSTGUG00000021267.1,CFD_ENSTGUG00000000656.2,ADCYAP1R1_ENSTGUG00000000306.2,ICMT_ENSTGUG00000002621.2
SERPINI1_ENSTGUG00000011067.2,THY1_ENSTGUG00000000398.2,GNG10_ENSTGUG00000001275.2,_ENSTGUG00000019166.1,_ENSTGUG00000020792.1,RPL34_ENSTGUG00000027399.1,ITM2A_ENSTGUG00000002582.2,GJA1_ENSTGUG00000011847.2,SYT1_ENSTGUG00000007572.2,RPLP1_ENSTGUG00000012661.2,_ENSTGUG00000013071.2,_ENSTGUG00000013282.2,DNM1_ENSTGUG00000003768.2,PDXK_ENSTGUG00000021550.1,NKX2-2_ENSTGUG00000007528.2,CLU_ENSTGUG00000028547.1,CIAO2A_ENSTGUG00000009827.2,CALM2_ENSTGUG00000002581.2,_ENSTGUG00000024592.1,_ENSTGUG00000023209.1,_ENSTGUG00000020792.1,RPL23_ENSTGUG00000002167.2
_ENSTGUG00000023451.1,CHL1_ENSTGUG00000009997.2,RPL13_ENSTGUG00000007874.2,_ENSTGUG00000013513.2,SERPINI1_ENSTGUG00000011067.2,_ENSTGUG00000026147.1,_ENSTGUG00000020625.1,ATP1A2_ENSTGUG00000027873.1,ATP1A1_ENSTGUG00000020927.1,RPL34_ENSTGUG00000027399.1,LTF_ENSTGUG00000006576.2,_ENSTGUG00000023210.1,ARPP21_ENSTGUG00000001697.2,FN1_ENSTGUG00000002978.2,SLC35F1_ENSTGUG00000028242.1,SDC2_ENSTGUG00000019500.1,CYB5A_ENSTGUG00000009166.2,YWHAG_ENSTGUG00000004553.2,_ENSTGUG00000021560.1,_ENSTGUG00000022686.1,_ENSTGUG00000024891.1,_ENSTGUG00000007086.2
SLC17A6_ENSTGUG00000004570.2,CRHBP_ENSTGUG00000004054.2,RPL27A_ENSTGUG00000008355.2,_ENSTGUG00000018924.1,ATP1B3_ENSTGUG00000008432.2,RPS13_ENSTGUG00000008572.2,C6orf62_ENSTGUG00000029400.1,_ENSTGUG00000006533.2,NRXN1_ENSTGUG00000005731.2,RAC2_ENSTGUG00000010650.2,_ENSTGUG00000005933.2,_ENSTGUG00000022984.1,CAMK2A_ENSTGUG00000000887.2,SLC16A7_ENSTGUG00000029204.1,DDX5_ENSTGUG00000004622.2,ATP1A2_ENSTGUG00000027873.1,_ENSTGUG00000028309.1,CPLX2_ENSTGUG00000023893.1,RRBP1_ENSTGUG00000005958.2,_ENSTGUG00000021641.1,MDH1_ENSTGUG00000002244.2,_ENSTGUG00000019387.1
SYT1_ENSTGUG00000007572.2,SCG5_ENSTGUG00000011734.2,EEF1B2_ENSTGUG00000009931.2,ASAH1_ENSTGUG00000007052.2,PCSK2_ENSTGUG00000002403.2,SLC1A3_ENSTGUG00000002032.2,ST8SIA6_ENSTGUG00000001296.2,_ENSTGUG00000005933.2,RTN1_ENSTGUG00000013003.2,RPLP2_ENSTGUG00000009801.2,_ENSTGUG00000009552.2,_ENSTGUG00000011194.2,HPCAL1_ENSTGUG00000013044.2,_ENSTGUG00000020625.1,SERPINE2_ENSTGUG00000007943.2,_ENSTGUG00000009552.2,_ENSTGUG00000001291.2,CAMK2B_ENSTGUG00000003464.2,SFTPC_ENSTGUG00000023951.1,UGT8_ENSTGUG00000001840.2,_ENSTGUG00000019387.1,_ENSTGUG00000026907.1
ATP6V0C_ENSTGUG00000003256.2,NELL1_ENSTGUG00000004458.2,_ENSTGUG00000022096.1,RPS20_ENSTGUG00000011097.2,RTN1_ENSTGUG00000013003.2,RPL23A_ENSTGUG00000006170.2,POLR2B_ENSTGUG00000002929.2,EGF_ENSTGUG00000004206.2,_ENSTGUG00000006670.2,TPT1_ENSTGUG00000012322.2,GPR37L1_ENSTGUG00000001200.2,_ENSTGUG00000023681.1,ARHGEF9_ENSTGUG00000005598.2,NDUFA4L2_ENSTGUG00000024308.1,PSMG4_ENSTGUG00000023303.1,PHGDH_ENSTGUG00000022462.1,TXN_ENSTGUG00000001294.2,PPP3CA_ENSTGUG00000003527.2,DAB1_ENSTGUG00000009639.2,_ENSTGUG00000008412.2,_ENSTGUG00000003344.2,C1QB_ENSTGUG00000024860.1
RTN1_ENSTGUG00000013003.2,RELN_ENSTGUG00000002836.2,TUBB3_ENSTGUG00000023461.1,_ENSTGUG00000026907.1,CLSTN3_ENSTGUG00000013253.2,RPL39_ENSTGUG00000003411.2,ALPL_ENSTGUG00000020178.1,GPM6B_ENSTGUG00000008166.2,ATP1B3_ENSTGUG00000008432.2,SAT1_ENSTGUG00000007289.2,PROM1_ENSTGUG00000009725.2,GLUL_ENSTGUG00000017345.2,_ENSTGUG00000024929.1,COLEC10_ENSTGUG00000019400.1,H3F3B_ENSTGUG00000008312.2,QKI_ENSTGUG00000009383.2,ZFAND2A_ENSTGUG00000008336.2,CELF2_ENSTGUG00000002136.2,GPRC5B_ENSTGUG00000009310.2,ENPP2_ENSTGUG00000012352.2,CALM2_ENSTGUG00000002581.2,IFI30_ENSTGUG00000000388.2
_ENSTGUG00000006670.2,SERINC1_ENSTGUG00000011827.2,RPLP2_ENSTGUG00000009801.2,FTH1_ENSTGUG00000005913.2,_ENSTGUG00000022310.1,RPL23_ENSTGUG00000002167.2,ABCB1_ENSTGUG00000001378.2,SPARC_ENSTGUG00000000770.2,SCG5_ENSTGUG00000011734.2,RPL14_ENSTGUG00000026863.1,HTRA1_ENSTGUG00000011319.2,ENPP2_ENSTGUG00000012352.2,TUBA1B_ENSTGUG00000010166.2,TIMP3_ENSTGUG00000026320.1,_ENSTGUG00000027881.1,HSP90AA1_ENSTGUG00000012808.2,WBP4_ENSTGUG00000023820.1,SLC17A6_ENSTGUG00000004570.2,_ENSTGUG00000007885.2,ITM2A_ENSTGUG00000002582.2,KCNC2_ENSTGUG00000007354.2,VIM_ENSTGUG00000001298.2
SERINC1_ENSTGUG00000011827.2,SYNPR_ENSTGUG00000018356.2,CELF2_ENSTGUG00000002136.2,ACTB_ENSTGUG00000004138.2,ATP2B2_ENSTGUG00000004296.2,_ENSTGUG00000012670.2,_ENSTGUG00000005652.2,AQP4_ENSTGUG00000020250.1,_ENSTGUG00000004094.2,RPS23_ENSTGUG00000017554.2,SLC4A4_ENSTGUG00000001611.2,GNG5_ENSTGUG00000021033.1,YKT6_ENSTGUG00000021816.1,COLEC12_ENSTGUG00000010195.2,DYNLT1_ENSTGUG00000011060.2,ID4_ENSTGUG00000006296.2,_ENSTGUG00000019119.1,RBFOX1_ENSTGUG00000004562.2,SCD_ENSTGUG00000007683.2,NDRG1_ENSTGUG00000012576.2,DYNC1H1_ENSTGUG00000012793.2,SAP18_ENSTGUG00000011377.2
ATP1B1_ENSTGUG00000013431.2,CLSTN1_ENSTGUG00000003610.2,RPL7_ENSTGUG00000011518.2,PFN1_ENSTGUG00000021125.1,EDIL3_ENSTGUG00000006826.2,RPL14_ENSTGUG00000026863.1,PDXK_ENSTGUG00000021550.1,_ENSTGUG00000020332.1,SERPINI1_ENSTGUG00000011067.2,_ENSTGUG00000000240.2,F3_ENSTGUG00000005647.2,RHOA_ENSTGUG00000006623.2,RBFOX1_ENSTGUG00000004562.2,TAGLN2_ENSTGUG00000027715.1,CDK2AP1_ENSTGUG00000005436.2,GLUL_ENSTGUG00000017345.2,RPLP1_ENSTGUG00000012661.2,DYNLL1_ENSTGUG00000009566.2,_ENSTGUG00000022984.1,HSP90AA1_ENSTGUG00000012808.2,OXR1_ENSTGUG00000012194.2,RPLP1_ENSTGUG00000012661.2
NRXN1_ENSTGUG00000005731.2,ERBB4_ENSTGUG00000011479.2,RPL18A_ENSTGUG00000006444.2,_ENSTGUG00000001664.2,ATP6V0C_ENSTGUG00000003256.2,RPL19_ENSTGUG00000019795.1,CNN3_ENSTGUG00000005620.2,KCNJ10_ENSTGUG00000020285.1,TSPAN3_ENSTGUG00000003668.2,_ENSTGUG00000029470.1,FGFR3_ENSTGUG00000010583.2,PLAAT1_ENSTGUG00000009218.2,MAP1A_ENSTGUG00000019635.1,JCAD_ENSTGUG00000001046.2,TNR_ENSTGUG00000017420.2,F3_ENSTGUG00000005647.2,KPNA4_ENSTGUG00000011158.2,SNCA_ENSTGUG00000003065.2,IQCK_ENSTGUG00000022019.1,JCAD_ENSTGUG00000001046.2,ATP6V1C1_ENSTGUG00000012137.2,_ENSTGUG00000015659.2
SCG5_ENSTGUG00000011734.2,CLSTN3_ENSTGUG00000013253.2,TMSB4X_ENSTGUG00000008243.2,NPC2_ENSTGUG00000016271.2,TRMT6_ENSTGUG00000002195.2,RPL24_ENSTGUG00000023416.1,ZNF366_ENSTGUG00000005717.2,GRM3_ENSTGUG00000002399.2,ATP2A2_ENSTGUG00000005728.2,RPL35A_ENSTGUG00000009679.2,PTN_ENSTGUG00000025134.1,NINJ2_ENSTGUG00000012626.2,TAGLN3_ENSTGUG00000013594.2,_ENSTGUG00000022686.1,NCAN_ENSTGUG00000019059.1,APOA1_ENSTGUG00000021957.1,DCUN1D2_ENSTGUG00000009237.2,SNCB_ENSTGUG00000000512.2,NINJ2_ENSTGUG00000012626.2,EFEMP1_ENSTGUG00000006870.2,SULT4A1_ENSTGUG00000012001.2,_ENSTGUG00000023468.1
NTS_ENSTGUG00000027877.1,ATP6AP2_ENSTGUG00000006635.2,MARCKS_ENSTGUG00000026006.1,FERMT1_ENSTGUG00000006448.2,SERINC1_ENSTGUG00000011827.2,RPLP2_ENSTGUG00000009801.2,TMSB4X_ENSTGUG00000008243.2,ATP1B2_ENSTGUG00000020126.1,ATP2B2_ENSTGUG00000004296.2,_ENSTGUG00000009212.2,KCNJ10_ENSTGUG00000020285.1,ANK3_ENSTGUG00000005344.2,UCHL1_ENSTGUG00000008638.2,_ENSTGUG00000021641.1,MARCKSL1_ENSTGUG00000027588.1,MGST1_ENSTGUG00000012391.2,_ENSTGUG00000025738.1,_ENSTGUG00000024929.1,_ENSTGUG00000019689.1,HMOX1_ENSTGUG00000010842.2,_ENSTGUG00000001908.2,_ENSTGUG00000024584.1
ATP1B3_ENSTGUG00000008432.2,ADCYAP1R1_ENSTGUG00000000306.2,YWHAG_ENSTGUG00000004553.2,CLTA_ENSTGUG00000000114.2,SYT4_ENSTGUG00000001618.2,RPS23_ENSTGUG00000017554.2,DUSP1_ENSTGUG00000000299.2,NMT2_ENSTGUG00000001356.2,GRIN1_ENSTGUG00000002568.2,RPS11_ENSTGUG00000000582.2,_ENSTGUG00000005031.2,STMN1_ENSTGUG00000017327.2,RAB6A_ENSTGUG00000013470.2,TMSB4X_ENSTGUG00000008243.2,EGF_ENSTGUG00000004206.2,_ENSTGUG00000019387.1,_ENSTGUG00000001629.2,MAP2_ENSTGUG00000011322.2,_ENSTGUG00000014961.2,_ENSTGUG00000021664.1,YWHAB_ENSTGUG00000024139.1,SAT1_ENSTGUG00000007289.2
