,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
CPQ_ENSTGUG00000011977.2,0.0,,,,,,CPQ_ENSTGUG00000011977.2,red blood cells
OTULINL_ENSTGUG00000007437.2,0.0,,,,,,OTULINL_ENSTGUG00000007437.2,red blood cells
SLC66A2_ENSTGUG00000023857.1,0.0,,,,,,SLC66A2_ENSTGUG00000023857.1,red blood cells
SLC39A6_ENSTGUG00000008614.2,0.0,,,,,,SLC39A6_ENSTGUG00000008614.2,red blood cells
TRIO_ENSTGUG00000007442.2,0.0,,,,,,TRIO_ENSTGUG00000007442.2,red blood cells
_ENSTGUG00000005349.2,0.0,,,,,,_ENSTGUG00000005349.2,red blood cells
LAPTM4B_ENSTGUG00000011987.2,0.0,,,,,,LAPTM4B_ENSTGUG00000011987.2,red blood cells
ADNP2_ENSTGUG00000006688.2,0.0,,,,,,ADNP2_ENSTGUG00000006688.2,red blood cells
MATN2_ENSTGUG00000011992.2,0.0,,,,,,MATN2_ENSTGUG00000011992.2,red blood cells
PLEKHA8_ENSTGUG00000002993.2,0.0,,,,,,PLEKHA8_ENSTGUG00000002993.2,red blood cells
_ENSTGUG00000027879.1,0.0,,,,,,_ENSTGUG00000027879.1,red blood cells
ANKRD33B_ENSTGUG00000026776.1,0.0,,,,,,ANKRD33B_ENSTGUG00000026776.1,red blood cells
COL15A1_ENSTGUG00000025718.1,0.0,,,,,,COL15A1_ENSTGUG00000025718.1,red blood cells
BTD_ENSTGUG00000023167.1,0.0,,,,,,BTD_ENSTGUG00000023167.1,red blood cells
POP1_ENSTGUG00000012011.2,0.0,,,,,,POP1_ENSTGUG00000012011.2,red blood cells
GALNT15_ENSTGUG00000003115.2,0.0,,,,,,GALNT15_ENSTGUG00000003115.2,red blood cells
SBK2_ENSTGUG00000021210.1,0.0,,,,,,SBK2_ENSTGUG00000021210.1,red blood cells
RFTN1_ENSTGUG00000003139.2,0.0,,,,,,RFTN1_ENSTGUG00000003139.2,red blood cells
ATPSCKMT_ENSTGUG00000007661.2,0.0,,,,,,ATPSCKMT_ENSTGUG00000007661.2,red blood cells
