,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
NDUFAF6_ENSTGUG00000011949.2,0.0,,,,,,NDUFAF6_ENSTGUG00000011949.2,oligodendrocyte precursor cells
TRIQK_ENSTGUG00000022552.1,0.0,,,,,,TRIQK_ENSTGUG00000022552.1,oligodendrocyte precursor cells
C8orf37_ENSTGUG00000011955.2,0.0,,,,,,C8orf37_ENSTGUG00000011955.2,oligodendrocyte precursor cells
GABBR2_ENSTGUG00000008527.2,0.0,,,,,,GABBR2_ENSTGUG00000008527.2,oligodendrocyte precursor cells
MTERF3_ENSTGUG00000011961.2,0.0,,,,,,MTERF3_ENSTGUG00000011961.2,oligodendrocyte precursor cells
CTDP1_ENSTGUG00000006649.2,0.0,,,,,,CTDP1_ENSTGUG00000006649.2,oligodendrocyte precursor cells
CDH17_ENSTGUG00000011871.2,0.0,,,,,,CDH17_ENSTGUG00000011871.2,oligodendrocyte precursor cells
GEM_ENSTGUG00000011878.2,0.0,,,,,,GEM_ENSTGUG00000011878.2,oligodendrocyte precursor cells
_ENSTGUG00000002953.2,0.0,,,,,,_ENSTGUG00000002953.2,oligodendrocyte precursor cells
CPQ_ENSTGUG00000011977.2,0.0,,,,,,CPQ_ENSTGUG00000011977.2,oligodendrocyte precursor cells
OTULINL_ENSTGUG00000007437.2,0.0,,,,,,OTULINL_ENSTGUG00000007437.2,oligodendrocyte precursor cells
SLC66A2_ENSTGUG00000023857.1,0.0,,,,,,SLC66A2_ENSTGUG00000023857.1,oligodendrocyte precursor cells
SLC39A6_ENSTGUG00000008614.2,0.0,,,,,,SLC39A6_ENSTGUG00000008614.2,oligodendrocyte precursor cells
TRIO_ENSTGUG00000007442.2,0.0,,,,,,TRIO_ENSTGUG00000007442.2,oligodendrocyte precursor cells
_ENSTGUG00000005349.2,0.0,,,,,,_ENSTGUG00000005349.2,oligodendrocyte precursor cells
LAPTM4B_ENSTGUG00000011987.2,1.0,-3.848706002880957e-15,4.051982916760735,0.0,1.0,1.0,LAPTM4B_ENSTGUG00000011987.2,oligodendrocyte precursor cells
ADNP2_ENSTGUG00000006688.2,0.0,,,,,,ADNP2_ENSTGUG00000006688.2,oligodendrocyte precursor cells
MATN2_ENSTGUG00000011992.2,0.0,,,,,,MATN2_ENSTGUG00000011992.2,oligodendrocyte precursor cells
PLEKHA8_ENSTGUG00000002993.2,0.0,,,,,,PLEKHA8_ENSTGUG00000002993.2,oligodendrocyte precursor cells
_ENSTGUG00000027879.1,0.0,,,,,,_ENSTGUG00000027879.1,oligodendrocyte precursor cells
ANKRD33B_ENSTGUG00000026776.1,0.0,,,,,,ANKRD33B_ENSTGUG00000026776.1,oligodendrocyte precursor cells
COL15A1_ENSTGUG00000025718.1,0.0,,,,,,COL15A1_ENSTGUG00000025718.1,oligodendrocyte precursor cells
BTD_ENSTGUG00000023167.1,0.0,,,,,,BTD_ENSTGUG00000023167.1,oligodendrocyte precursor cells
POP1_ENSTGUG00000012011.2,0.0,,,,,,POP1_ENSTGUG00000012011.2,oligodendrocyte precursor cells
GALNT15_ENSTGUG00000003115.2,0.0,,,,,,GALNT15_ENSTGUG00000003115.2,oligodendrocyte precursor cells
SBK2_ENSTGUG00000021210.1,0.0,,,,,,SBK2_ENSTGUG00000021210.1,oligodendrocyte precursor cells
RFTN1_ENSTGUG00000003139.2,0.0,,,,,,RFTN1_ENSTGUG00000003139.2,oligodendrocyte precursor cells
ATPSCKMT_ENSTGUG00000007661.2,0.0,,,,,,ATPSCKMT_ENSTGUG00000007661.2,oligodendrocyte precursor cells
SEMA5A_ENSTGUG00000007664.2,0.0,,,,,,SEMA5A_ENSTGUG00000007664.2,oligodendrocyte precursor cells
MTRR_ENSTGUG00000007702.2,0.0,,,,,,MTRR_ENSTGUG00000007702.2,oligodendrocyte precursor cells
PLCL2_ENSTGUG00000003154.2,0.0,,,,,,PLCL2_ENSTGUG00000003154.2,oligodendrocyte precursor cells
KCNS2_ENSTGUG00000022432.1,0.0,,,,,,KCNS2_ENSTGUG00000022432.1,oligodendrocyte precursor cells
CSMD3_ENSTGUG00000012272.2,0.0,,,,,,CSMD3_ENSTGUG00000012272.2,oligodendrocyte precursor cells
ELMO1_ENSTGUG00000005533.2,0.0,,,,,,ELMO1_ENSTGUG00000005533.2,oligodendrocyte precursor cells
ADCY2_ENSTGUG00000007740.2,0.0,,,,,,ADCY2_ENSTGUG00000007740.2,oligodendrocyte precursor cells
_ENSTGUG00000027521.1,0.0,,,,,,_ENSTGUG00000027521.1,oligodendrocyte precursor cells
NR4A3_ENSTGUG00000008853.2,0.0,,,,,,NR4A3_ENSTGUG00000008853.2,oligodendrocyte precursor cells
EPDR1_ENSTGUG00000025037.1,0.0,,,,,,EPDR1_ENSTGUG00000025037.1,oligodendrocyte precursor cells
NSUN2_ENSTGUG00000007789.2,0.0,,,,,,NSUN2_ENSTGUG00000007789.2,oligodendrocyte precursor cells
ALG2_ENSTGUG00000008879.2,0.0,,,,,,ALG2_ENSTGUG00000008879.2,oligodendrocyte precursor cells
STARD3NL_ENSTGUG00000005634.2,0.0,,,,,,STARD3NL_ENSTGUG00000005634.2,oligodendrocyte precursor cells
IFI6_ENSTGUG00000021692.1,3.0,-3.675859974519254,4.465082278705534,0.4238940154166393,0.5150003739405612,1.0,IFI6_ENSTGUG00000021692.1,oligodendrocyte precursor cells
TRANK1_ENSTGUG00000005694.2,0.0,,,,,,TRANK1_ENSTGUG00000005694.2,oligodendrocyte precursor cells
RNF19A_ENSTGUG00000012061.2,0.0,,,,,,RNF19A_ENSTGUG00000012061.2,oligodendrocyte precursor cells
DCLK3_ENSTGUG00000027434.1,0.0,,,,,,DCLK3_ENSTGUG00000027434.1,oligodendrocyte precursor cells
_ENSTGUG00000027473.1,0.0,,,,,,_ENSTGUG00000027473.1,oligodendrocyte precursor cells
ARPP21_ENSTGUG00000001697.2,0.0,,,,,,ARPP21_ENSTGUG00000001697.2,oligodendrocyte precursor cells
THRB_ENSTGUG00000018874.1,0.0,,,,,,THRB_ENSTGUG00000018874.1,oligodendrocyte precursor cells
NCALD_ENSTGUG00000022354.1,0.0,,,,,,NCALD_ENSTGUG00000022354.1,oligodendrocyte precursor cells
RRM2B_ENSTGUG00000012093.2,0.0,,,,,,RRM2B_ENSTGUG00000012093.2,oligodendrocyte precursor cells
UPP1_ENSTGUG00000007854.2,0.0,,,,,,UPP1_ENSTGUG00000007854.2,oligodendrocyte precursor cells
VWC2_ENSTGUG00000007906.2,0.0,,,,,,VWC2_ENSTGUG00000007906.2,oligodendrocyte precursor cells
IKZF1_ENSTGUG00000007910.2,0.0,,,,,,IKZF1_ENSTGUG00000007910.2,oligodendrocyte precursor cells
C6orf62_ENSTGUG00000029400.1,0.5,5.055918678349297e-06,4.9810241883247075,2.4282797994601424e-12,0.9999987566613763,1.0,C6orf62_ENSTGUG00000029400.1,oligodendrocyte precursor cells
SLC4A7_ENSTGUG00000003545.2,0.0,,,,,,SLC4A7_ENSTGUG00000003545.2,oligodendrocyte precursor cells
GALR1_ENSTGUG00000024217.1,0.0,,,,,,GALR1_ENSTGUG00000024217.1,oligodendrocyte precursor cells
DDC_ENSTGUG00000007930.2,0.0,,,,,,DDC_ENSTGUG00000007930.2,oligodendrocyte precursor cells
FBXL2_ENSTGUG00000001755.2,0.0,,,,,,FBXL2_ENSTGUG00000001755.2,oligodendrocyte precursor cells
_ENSTGUG00000006931.2,0.0,,,,,,_ENSTGUG00000006931.2,oligodendrocyte precursor cells
CHPF2_ENSTGUG00000000042.2,0.0,,,,,,CHPF2_ENSTGUG00000000042.2,oligodendrocyte precursor cells
MBP_ENSTGUG00000009051.2,1.0,-3.848706002880957e-15,4.051982916760735,0.0,1.0,1.0,MBP_ENSTGUG00000009051.2,oligodendrocyte precursor cells
GBX1_ENSTGUG00000023874.1,0.0,,,,,,GBX1_ENSTGUG00000023874.1,oligodendrocyte precursor cells
AGAP3_ENSTGUG00000000055.2,0.0,,,,,,AGAP3_ENSTGUG00000000055.2,oligodendrocyte precursor cells
TMUB1_ENSTGUG00000023430.1,0.0,,,,,,TMUB1_ENSTGUG00000023430.1,oligodendrocyte precursor cells
VSTM2A_ENSTGUG00000023664.1,0.0,,,,,,VSTM2A_ENSTGUG00000023664.1,oligodendrocyte precursor cells
_ENSTGUG00000024951.1,0.0,,,,,,_ENSTGUG00000024951.1,oligodendrocyte precursor cells
_ENSTGUG00000022445.1,0.0,,,,,,_ENSTGUG00000022445.1,oligodendrocyte precursor cells
_ENSTGUG00000027012.1,0.0,,,,,,_ENSTGUG00000027012.1,oligodendrocyte precursor cells
SLC4A2_ENSTGUG00000000073.2,0.0,,,,,,SLC4A2_ENSTGUG00000000073.2,oligodendrocyte precursor cells
RAMP3_ENSTGUG00000025072.1,0.0,,,,,,RAMP3_ENSTGUG00000025072.1,oligodendrocyte precursor cells
ADCY1_ENSTGUG00000007142.2,0.0,,,,,,ADCY1_ENSTGUG00000007142.2,oligodendrocyte precursor cells
_ENSTGUG00000025304.1,0.0,,,,,,_ENSTGUG00000025304.1,oligodendrocyte precursor cells
ABCB8_ENSTGUG00000020909.1,0.0,,,,,,ABCB8_ENSTGUG00000020909.1,oligodendrocyte precursor cells
