,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
KIAA0319_ENSTGUG00000006487.2,0.0,,,,,,KIAA0319_ENSTGUG00000006487.2,microglia 3 / radial glia
IRX1_ENSTGUG00000008517.2,0.0,,,,,,IRX1_ENSTGUG00000008517.2,microglia 3 / radial glia
NDUFAF6_ENSTGUG00000011949.2,0.0,,,,,,NDUFAF6_ENSTGUG00000011949.2,microglia 3 / radial glia
TRIQK_ENSTGUG00000022552.1,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,0.6746767022161076,TRIQK_ENSTGUG00000022552.1,microglia 3 / radial glia
C8orf37_ENSTGUG00000011955.2,0.0,,,,,,C8orf37_ENSTGUG00000011955.2,microglia 3 / radial glia
GABBR2_ENSTGUG00000008527.2,0.0,,,,,,GABBR2_ENSTGUG00000008527.2,microglia 3 / radial glia
MTERF3_ENSTGUG00000011961.2,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,0.6746767022161076,MTERF3_ENSTGUG00000011961.2,microglia 3 / radial glia
CTDP1_ENSTGUG00000006649.2,0.0,,,,,,CTDP1_ENSTGUG00000006649.2,microglia 3 / radial glia
CDH17_ENSTGUG00000011871.2,0.0,,,,,,CDH17_ENSTGUG00000011871.2,microglia 3 / radial glia
GEM_ENSTGUG00000011878.2,0.0,,,,,,GEM_ENSTGUG00000011878.2,microglia 3 / radial glia
_ENSTGUG00000002953.2,0.0,,,,,,_ENSTGUG00000002953.2,microglia 3 / radial glia
CPQ_ENSTGUG00000011977.2,0.0,,,,,,CPQ_ENSTGUG00000011977.2,microglia 3 / radial glia
OTULINL_ENSTGUG00000007437.2,0.0,,,,,,OTULINL_ENSTGUG00000007437.2,microglia 3 / radial glia
SLC66A2_ENSTGUG00000023857.1,0.0,,,,,,SLC66A2_ENSTGUG00000023857.1,microglia 3 / radial glia
SLC39A6_ENSTGUG00000008614.2,0.0,,,,,,SLC39A6_ENSTGUG00000008614.2,microglia 3 / radial glia
TRIO_ENSTGUG00000007442.2,0.0,,,,,,TRIO_ENSTGUG00000007442.2,microglia 3 / radial glia
_ENSTGUG00000005349.2,0.0,,,,,,_ENSTGUG00000005349.2,microglia 3 / radial glia
LAPTM4B_ENSTGUG00000011987.2,2.25,-0.4734902005916886,2.818983464131627,0.027569973186750474,0.8681238327008731,0.9735776348486388,LAPTM4B_ENSTGUG00000011987.2,microglia 3 / radial glia
ADNP2_ENSTGUG00000006688.2,0.0,,,,,,ADNP2_ENSTGUG00000006688.2,microglia 3 / radial glia
MATN2_ENSTGUG00000011992.2,0.0,,,,,,MATN2_ENSTGUG00000011992.2,microglia 3 / radial glia
PLEKHA8_ENSTGUG00000002993.2,0.0,,,,,,PLEKHA8_ENSTGUG00000002993.2,microglia 3 / radial glia
_ENSTGUG00000027879.1,0.0,,,,,,_ENSTGUG00000027879.1,microglia 3 / radial glia
ANKRD33B_ENSTGUG00000026776.1,0.0,,,,,,ANKRD33B_ENSTGUG00000026776.1,microglia 3 / radial glia
COL15A1_ENSTGUG00000025718.1,0.0,,,,,,COL15A1_ENSTGUG00000025718.1,microglia 3 / radial glia
BTD_ENSTGUG00000023167.1,0.0,,,,,,BTD_ENSTGUG00000023167.1,microglia 3 / radial glia
POP1_ENSTGUG00000012011.2,0.0,,,,,,POP1_ENSTGUG00000012011.2,microglia 3 / radial glia
GALNT15_ENSTGUG00000003115.2,0.0,,,,,,GALNT15_ENSTGUG00000003115.2,microglia 3 / radial glia
SBK2_ENSTGUG00000021210.1,0.0,,,,,,SBK2_ENSTGUG00000021210.1,microglia 3 / radial glia
RFTN1_ENSTGUG00000003139.2,0.0,,,,,,RFTN1_ENSTGUG00000003139.2,microglia 3 / radial glia
ATPSCKMT_ENSTGUG00000007661.2,0.0,,,,,,ATPSCKMT_ENSTGUG00000007661.2,microglia 3 / radial glia
SEMA5A_ENSTGUG00000007664.2,0.0,,,,,,SEMA5A_ENSTGUG00000007664.2,microglia 3 / radial glia
MTRR_ENSTGUG00000007702.2,0.0,,,,,,MTRR_ENSTGUG00000007702.2,microglia 3 / radial glia
PLCL2_ENSTGUG00000003154.2,0.0,,,,,,PLCL2_ENSTGUG00000003154.2,microglia 3 / radial glia
KCNS2_ENSTGUG00000022432.1,0.0,,,,,,KCNS2_ENSTGUG00000022432.1,microglia 3 / radial glia
CSMD3_ENSTGUG00000012272.2,0.0,,,,,,CSMD3_ENSTGUG00000012272.2,microglia 3 / radial glia
ELMO1_ENSTGUG00000005533.2,0.0,,,,,,ELMO1_ENSTGUG00000005533.2,microglia 3 / radial glia
ADCY2_ENSTGUG00000007740.2,0.0,,,,,,ADCY2_ENSTGUG00000007740.2,microglia 3 / radial glia
_ENSTGUG00000027521.1,0.0,,,,,,_ENSTGUG00000027521.1,microglia 3 / radial glia
NR4A3_ENSTGUG00000008853.2,0.0,,,,,,NR4A3_ENSTGUG00000008853.2,microglia 3 / radial glia
EPDR1_ENSTGUG00000025037.1,0.0,,,,,,EPDR1_ENSTGUG00000025037.1,microglia 3 / radial glia
NSUN2_ENSTGUG00000007789.2,0.0,,,,,,NSUN2_ENSTGUG00000007789.2,microglia 3 / radial glia
ALG2_ENSTGUG00000008879.2,0.0,,,,,,ALG2_ENSTGUG00000008879.2,microglia 3 / radial glia
STARD3NL_ENSTGUG00000005634.2,0.0,,,,,,STARD3NL_ENSTGUG00000005634.2,microglia 3 / radial glia
IFI6_ENSTGUG00000021692.1,4.0,-18.34250290509014,191.40060522653093,4.738909810679832,0.0294877517451629,0.6746767022161076,IFI6_ENSTGUG00000021692.1,microglia 3 / radial glia
TRANK1_ENSTGUG00000005694.2,0.0,,,,,,TRANK1_ENSTGUG00000005694.2,microglia 3 / radial glia
RNF19A_ENSTGUG00000012061.2,0.0,,,,,,RNF19A_ENSTGUG00000012061.2,microglia 3 / radial glia
DCLK3_ENSTGUG00000027434.1,0.0,,,,,,DCLK3_ENSTGUG00000027434.1,microglia 3 / radial glia
_ENSTGUG00000027473.1,0.0,,,,,,_ENSTGUG00000027473.1,microglia 3 / radial glia
ARPP21_ENSTGUG00000001697.2,0.0,,,,,,ARPP21_ENSTGUG00000001697.2,microglia 3 / radial glia
THRB_ENSTGUG00000018874.1,0.0,,,,,,THRB_ENSTGUG00000018874.1,microglia 3 / radial glia
NCALD_ENSTGUG00000022354.1,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,0.6746767022161076,NCALD_ENSTGUG00000022354.1,microglia 3 / radial glia
RRM2B_ENSTGUG00000012093.2,0.0,,,,,,RRM2B_ENSTGUG00000012093.2,microglia 3 / radial glia
UPP1_ENSTGUG00000007854.2,0.0,,,,,,UPP1_ENSTGUG00000007854.2,microglia 3 / radial glia
VWC2_ENSTGUG00000007906.2,0.0,,,,,,VWC2_ENSTGUG00000007906.2,microglia 3 / radial glia
IKZF1_ENSTGUG00000007910.2,0.5,16.05289619615266,245.00435532095239,0.5362660488804423,0.4639843298453507,0.6746767022161076,IKZF1_ENSTGUG00000007910.2,microglia 3 / radial glia
C6orf62_ENSTGUG00000029400.1,1.75,-0.3015839424141878,3.4863251568808726,0.0063989071680445875,0.9362426885051301,1.0,C6orf62_ENSTGUG00000029400.1,microglia 3 / radial glia
SLC4A7_ENSTGUG00000003545.2,0.0,,,,,,SLC4A7_ENSTGUG00000003545.2,microglia 3 / radial glia
GALR1_ENSTGUG00000024217.1,0.0,,,,,,GALR1_ENSTGUG00000024217.1,microglia 3 / radial glia
DDC_ENSTGUG00000007930.2,0.0,,,,,,DDC_ENSTGUG00000007930.2,microglia 3 / radial glia
FBXL2_ENSTGUG00000001755.2,0.0,,,,,,FBXL2_ENSTGUG00000001755.2,microglia 3 / radial glia
_ENSTGUG00000006931.2,0.0,,,,,,_ENSTGUG00000006931.2,microglia 3 / radial glia
CHPF2_ENSTGUG00000000042.2,0.0,,,,,,CHPF2_ENSTGUG00000000042.2,microglia 3 / radial glia
MBP_ENSTGUG00000009051.2,1.0,0.0003366510580892847,6.610125551560786,-2.147611866121224e-09,1.0,1.0,MBP_ENSTGUG00000009051.2,microglia 3 / radial glia
GBX1_ENSTGUG00000023874.1,0.0,,,,,,GBX1_ENSTGUG00000023874.1,microglia 3 / radial glia
