,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.03797548698510129,14.557650039793558,43.20078375555749,3.8413851860080115,0.05000219579760239,,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.018949778991083525,4.102031376747382,4.275152969872734,0.4160078190575973,0.5189358167867668,,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.09488582760807439,-3.9577814635436135,2.0171539332926116,1.2771194635859047,0.25843531006989034,,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.023204660864479157,3.1954336741952982,3.5286701298564087,0.23448955365972068,0.6282146904015399,,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.21511686298335497,-2.460968967909961,1.4168562854718372,0.7016369835617979,0.4022341901596577,,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.02947412540024299,-5.182090659172697,4.0737865504628665,0.7710052559907439,0.3799062478997359,,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0021217401673416965,9.880045978267237,41.31516082701795,0.2711049552627527,0.6025915203564844,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.1243463997123357,-5.272232855576936,2.3247241382519848,2.467361291712564,0.1162329098758233,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.13072533501214825,-3.575667922104967,1.8836225518740095,1.0393577726893,0.30797088403042094,,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.027402012963380327,-2.706844839276992,3.0975870877205915,0.19582753500975514,0.6581100307604522,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.010508236166781423,0.2700556558329027,6.466746054721222,0.00016932119000045986,0.9896179417366542,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.11599201821428241,0.38667867022614416,1.6601015769197784,0.01235479483580093,0.9114957152152592,,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.18331209101303048,1.474703008913378,1.3230373076210324,0.24254431010064081,0.6223744891671894,,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.05688448696556251,-5.4470738267092935,3.057748236341505,1.5887911628868494,0.20749892795829322,,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.010552883466530695,-12.020786522043876,39.6382303612049,0.6822099461831854,0.40882677432577885,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.861796202742231,1.1357642218320956,0.8320323206165932,0.5519101647428215,0.4575382506015213,0.6426872588217115,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.006321933833239593,3.656646182563076,5.981846245883687,0.13154032886943412,0.7168402888917944,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,1.544939824265535,1.338507208128453,0.8960087766857299,0.6085460112356031,0.43533578838339276,0.6319390476533121,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.9475767438393082,2.9138639778691813,1.7312562270819425,0.49371736325656457,0.4822737433979809,0.659943656855101,PMP2_ENSTGUG00000011663.2
